Age,Mean Word Length
29,5.00105820106
54,5.4321002579
25,5.07971014493
55,5.4237255357
29,5.34683932052
57,5.23514256269
58,5.36813430191
32,5.40198056116
28,5.74130571249
27,5.90952006294
26,5.27599959096
28,5.36119047619
67,6.09808174282
33,6.05540691193
35,5.25835574337
64,5.84708994709
28,6.04687672747
30,6.07954671089
56,5.44814622764
45,5.91221796938
22,5.35202205882
20,5.85028564332
60,5.74768056371
24,5.75856854839
26,5.40190105696
45,5.55077452668
41,5.20397603486
42,5.5087024087
21,5.48085618086
20,5.92698472801
20,6.04730759462
50,6.07046603032
60,5.87355686563
32,6.02131126173
25,6.19552879291
22,6.15011010521
57,5.29347604485
37,5.31750604638
34,5.44603873239
47,5.91369686561
30,5.26487334842
29,5.20958605664
24,5.52501253133
32,5.19633769538
25,5.75525210084
23,5.91420765027
42,5.66230230749
22,5.81448412698
49,5.30168350168
50,5.66485507246
25,5.4711833785
24,5.90128968254
22,5.39242909253
52,5.7336295356
52,5.8096897482
72,5.75395256917
33,5.19574898785
35,5.0197583511
34,5.25889915629
34,5.23907979033
25,5.30318993269
49,5.94859601449
46,5.91201251805
22,5.55808823529
27,5.35863395863
24,5.44233365477
21,5.46918076441
25,5.21844794256
27,5.96917420814
37,4.92557526366
35,6.15405670971
74,5.51714828517
27,5.30183126226
31,5.38890197002
30,5.33660130719
21,5.18565717141
27,5.00052478412
46,5.23420479303
57,5.51829550718
24,5.24537037037
56,6.04037872459
53,5.85218855219
21,6.10180995475
21,6.10576923077
23,4.92613261128
50,5.11015151515
22,5.48528074092
22,6.01314016173
19,6.21425425719
41,5.58448632749
22,5.13619702176
21,5.28378297362
62,5.62560386473
21,5.15583136328
19,5.42235142119
23,4.86001157407
55,5.31412155814
56,5.59966311061
55,5.60276923077
58,5.4320610687
27,5.57592592593
21,5.15128221691
24,5.3229574756
